extractor,batch_size,dialog_id,error_type,label,value
rules,1,sample-001,false_positive,EVENT,summit
rules,1,sample-001,false_positive,LOC,ukraine
rules,1,sample-002,false_positive,EVENT,announcement
rules,1,sample-002,false_positive,IMPACT,lifted apple shares
rules,2,sample-001,false_positive,EVENT,summit
rules,2,sample-001,false_positive,LOC,ukraine
rules,2,sample-002,false_positive,EVENT,announcement
rules,2,sample-002,false_positive,IMPACT,lifted apple shares
rules,4,sample-001,false_positive,EVENT,summit
rules,4,sample-001,false_positive,LOC,ukraine
rules,4,sample-002,false_positive,EVENT,announcement
rules,4,sample-002,false_positive,IMPACT,lifted apple shares
