dialog_id,label,value
f191c458060d6a71b149e9e208da99b9,ORG,Amazon
f191c458060d6a71b149e9e208da99b9,ORG,Amazon Web Services
f191c458060d6a71b149e9e208da99b9,ORG,AWS
f191c458060d6a71b149e9e208da99b9,ORG,Alexa
f191c458060d6a71b149e9e208da99b9,ORG,Prime Air
f191c458060d6a71b149e9e208da99b9,ORG,Amazon Go
f191c458060d6a71b149e9e208da99b9,ORG,Amazon Prime Video
f191c458060d6a71b149e9e208da99b9,ORG,Amazon Fresh
f191c458060d6a71b149e9e208da99b9,ORG,Whole Foods Market
f191c458060d6a71b149e9e208da99b9,LOC,India
f191c458060d6a71b149e9e208da99b9,LOC,Europe
f191c458060d6a71b149e9e208da99b9,LOC,Latin America
f191c458060d6a71b149e9e208da99b9,DATE,past 5 years
f191c458060d6a71b149e9e208da99b9,DATE,2020
f191c458060d6a71b149e9e208da99b9,DATE,2017
f191c458060d6a71b149e9e208da99b9,DATE,2018
f191c458060d6a71b149e9e208da99b9,DATE,2019
f191c458060d6a71b149e9e208da99b9,DATE,2021
f191c458060d6a71b149e9e208da99b9,SOURCE,Forbes
f191c458060d6a71b149e9e208da99b9,SOURCE,Business Insider
f191c458060d6a71b149e9e208da99b9,SOURCE,CNBC
f191c458060d6a71b149e9e208da99b9,SOURCE,The Wall Street Journal
f191c458060d6a71b149e9e208da99b9,SOURCE,Reuters
f191c458060d6a71b149e9e208da99b9,SOURCE,The New York Times
ca60ed06c5383a34e2aca78f92d70bf7,LOC,India
ec9c53d87f1707cfece8c482091877bd,PERSON,Jonathan Riley-Smith
ec9c53d87f1707cfece8c482091877bd,PERSON,King Louis IX
ec9c53d87f1707cfece8c482091877bd,ORG,Ignatius Press
ec9c53d87f1707cfece8c482091877bd,ORG,Catholic Church
ec9c53d87f1707cfece8c482091877bd,LOC,Middle East
ec9c53d87f1707cfece8c482091877bd,LOC,Jerusalem
ec9c53d87f1707cfece8c482091877bd,LOC,Europe
ec9c53d87f1707cfece8c482091877bd,DATE,"March 23, 2009"
ec9c53d87f1707cfece8c482091877bd,EVENT,First through Fifth Crusades
ec9c53d87f1707cfece8c482091877bd,EVENT,French crusades
9772d6bfe6c04c1c56b943134b12b236,LOC,"Allen, Texas"
9772d6bfe6c04c1c56b943134b12b236,LOC,Dallas
9772d6bfe6c04c1c56b943134b12b236,EVENT,shooting at an outlet mall
9772d6bfe6c04c1c56b943134b12b236,IMPACT,at least one confirmed shooter who is being reported as deceased
