extractor,batch_size,label,precision,recall,f1,support
rules,1,DATE,1.0,1.0,1.0,5
rules,1,EVENT,0.75,1.0,0.8571428571428571,6
rules,1,IMPACT,0.875,1.0,0.9333333333333333,7
rules,1,LOC,0.875,1.0,0.9333333333333333,7
rules,1,ORG,1.0,1.0,1.0,10
rules,1,PERSON,1.0,1.0,1.0,2
rules,1,SOURCE,1.0,1.0,1.0,5
rules,2,DATE,1.0,1.0,1.0,5
rules,2,EVENT,0.75,1.0,0.8571428571428571,6
rules,2,IMPACT,0.875,1.0,0.9333333333333333,7
rules,2,LOC,0.875,1.0,0.9333333333333333,7
rules,2,ORG,1.0,1.0,1.0,10
rules,2,PERSON,1.0,1.0,1.0,2
rules,2,SOURCE,1.0,1.0,1.0,5
rules,4,DATE,1.0,1.0,1.0,5
rules,4,EVENT,0.75,1.0,0.8571428571428571,6
rules,4,IMPACT,0.875,1.0,0.9333333333333333,7
rules,4,LOC,0.875,1.0,0.9333333333333333,7
rules,4,ORG,1.0,1.0,1.0,10
rules,4,PERSON,1.0,1.0,1.0,2
rules,4,SOURCE,1.0,1.0,1.0,5
